Employee_ID,Transfer_Date,From_Agency,To_Agency,Job_Grade
EMP01861,2024-04-21,Finance,Sales,Junior
EMP00354,2024-05-30,IT,Sales,Manager
EMP01334,2024-08-05,Customer Service,IT,Junior
EMP00906,2023-12-24,Legal,Sales,Director
EMP01290,2023-08-04,Finance,Legal,Senior
EMP01274,2024-12-22,Operations,IT,Lead
EMP00939,2024-11-14,Marketing,Sales,Senior
EMP01732,2024-01-01,Marketing,Operations,Senior
EMP00066,2023-08-31,Finance,Legal,Junior
EMP01324,2024-07-01,Sales,IT,Mid
EMP00057,2023-03-04,HR,Customer Service,Mid
EMP01293,2023-02-11,HR,Operations,Senior
EMP01119,2023-01-18,HR,IT,Mid
EMP00585,2023-11-06,Marketing,Operations,Manager
EMP00375,2024-02-02,Sales,Legal,Junior
EMP00276,2023-03-25,Sales,Customer Service,Director
EMP00747,2024-08-09,Legal,Customer Service,Mid
EMP00129,2024-08-10,IT,HR,Mid
EMP01647,2023-04-23,Sales,IT,Junior
EMP01853,2023-03-10,Operations,IT,Mid
EMP00675,2023-06-16,Legal,Operations,Junior
EMP01665,2024-08-07,Marketing,Customer Service,Director
EMP01982,2023-04-06,Finance,Operations,Manager
EMP01084,2023-06-02,Sales,Legal,Mid
EMP01923,2024-08-14,Sales,Operations,Senior
EMP00100,2024-08-23,Marketing,Legal,Junior
EMP01180,2023-12-23,Legal,Sales,Junior
EMP00965,2023-01-25,Legal,Finance,Lead
EMP00793,2023-11-07,Operations,HR,Mid
EMP00030,2024-05-04,IT,HR,Senior
EMP00629,2024-10-31,Legal,Customer Service,Mid
EMP00945,2024-06-07,Operations,HR,Mid
EMP00573,2023-02-28,Legal,Marketing,Lead
EMP00908,2023-07-21,Customer Service,Finance,Junior
EMP01081,2024-08-13,Operations,Marketing,Junior
EMP00451,2024-04-26,Operations,Finance,Senior
EMP01610,2023-08-04,Finance,Legal,Junior
EMP01291,2024-08-30,Marketing,IT,Mid
EMP01079,2023-04-06,Operations,Sales,Mid
EMP00255,2023-04-28,Operations,HR,Lead
EMP00125,2024-02-12,Finance,Operations,Senior
EMP01928,2024-10-10,Operations,HR,Junior
EMP00252,2023-06-05,Customer Service,Finance,Lead
EMP00586,2023-08-01,Operations,HR,Director
EMP01569,2023-05-01,IT,Customer Service,Manager
EMP00825,2024-12-04,Customer Service,Sales,Senior
EMP00508,2024-04-16,Sales,IT,Junior
EMP00890,2024-04-22,IT,Customer Service,Mid
EMP00071,2024-11-07,Legal,Operations,Mid
EMP01609,2023-02-24,Sales,Finance,Mid
EMP01533,2024-09-12,Legal,Customer Service,Manager
EMP00248,2024-11-20,HR,Finance,Junior
EMP01451,2023-04-29,IT,Finance,Senior
EMP00213,2024-01-27,Sales,IT,Mid
EMP00910,2023-04-18,HR,Operations,Mid
EMP01742,2023-07-05,Marketing,Finance,Junior
EMP01245,2023-05-04,HR,Sales,Manager
EMP01697,2023-02-02,Sales,IT,Lead
EMP01183,2023-05-20,HR,Legal,Senior
EMP00362,2023-12-18,Marketing,Legal,Lead
EMP01474,2024-06-25,Operations,Customer Service,Lead
EMP00679,2024-03-24,Marketing,Operations,Senior
EMP01622,2023-07-22,Sales,Marketing,Junior
EMP01090,2023-08-08,HR,Finance,Director
EMP01988,2023-10-28,HR,Sales,Junior
EMP01848,2023-07-17,Customer Service,IT,Lead
EMP00988,2024-01-25,Operations,IT,Junior
EMP01513,2023-08-02,IT,Sales,Senior
EMP00112,2023-01-14,Customer Service,Sales,Senior
EMP01488,2023-07-03,Marketing,IT,Senior
EMP01454,2024-10-28,Sales,Legal,Junior
EMP00384,2023-11-05,IT,Customer Service,Mid
EMP01396,2024-06-17,HR,Finance,Lead
EMP01055,2023-06-03,IT,Customer Service,Junior
EMP00756,2023-10-16,HR,Operations,Lead
EMP00325,2023-04-13,Customer Service,Finance,Junior
EMP01624,2023-10-19,Sales,Finance,Junior
EMP00788,2024-07-25,Marketing,Legal,Mid
EMP00369,2024-02-09,Legal,Sales,Mid
EMP01820,2024-06-21,Marketing,Operations,Lead
EMP00070,2023-12-12,Sales,Customer Service,Senior
EMP00858,2023-01-09,IT,Sales,Lead
EMP01484,2024-11-11,HR,IT,Junior
EMP01556,2023-05-18,HR,Operations,Mid
EMP01692,2024-09-02,Customer Service,HR,Senior
EMP01475,2024-01-20,HR,Operations,Junior
EMP01799,2023-01-18,Legal,Customer Service,Lead
EMP00479,2024-08-28,Operations,HR,Junior
EMP00282,2024-12-18,HR,Customer Service,Lead
EMP01648,2024-01-11,Legal,HR,Manager
EMP01557,2024-01-25,IT,Customer Service,Junior
EMP01730,2023-03-09,HR,Customer Service,Director
EMP00211,2024-11-01,HR,Finance,Senior
EMP00298,2023-08-08,IT,Legal,Mid
EMP01885,2024-11-13,IT,Sales,Mid
EMP01834,2024-09-02,Customer Service,HR,Mid
EMP00652,2023-05-12,Customer Service,Legal,Mid
EMP01234,2024-12-12,Customer Service,Marketing,Mid
EMP01503,2024-05-23,Marketing,Customer Service,Manager
EMP01932,2023-01-18,Marketing,Customer Service,Manager
EMP00917,2023-04-10,HR,Operations,Manager
EMP00994,2024-04-09,Marketing,Finance,Lead
EMP00430,2023-05-26,Finance,IT,Manager
EMP01371,2023-07-15,Legal,IT,Junior
EMP00240,2024-01-03,Legal,Marketing,Junior
EMP00880,2023-12-01,Finance,Sales,Mid
EMP00621,2024-01-11,IT,Marketing,Junior
EMP00257,2023-11-11,Legal,Customer Service,Junior
EMP00612,2023-05-14,Marketing,Operations,Mid
EMP00545,2023-01-28,Marketing,HR,Junior
EMP00772,2023-03-18,Customer Service,Sales,Junior
EMP01420,2023-06-09,Legal,Finance,Junior
EMP01042,2023-05-25,Finance,Marketing,Manager
EMP01790,2023-02-25,IT,Marketing,Junior
EMP00760,2023-05-07,Operations,IT,Senior
EMP00383,2024-09-20,Finance,HR,Manager
EMP01104,2024-05-05,IT,Operations,Senior
EMP00974,2024-07-24,Customer Service,IT,Junior
EMP00353,2023-10-12,Marketing,Finance,Senior
EMP01606,2023-06-20,Sales,Marketing,Junior
EMP01826,2024-09-26,HR,Finance,Junior
EMP01037,2024-03-29,Legal,Sales,Mid
EMP01108,2023-03-29,Marketing,IT,Mid
EMP00495,2024-03-12,Legal,Customer Service,Junior
EMP00394,2024-08-27,Customer Service,Finance,Junior
EMP01547,2024-02-27,Operations,HR,Director
EMP00465,2023-05-14,HR,Operations,Mid
EMP00887,2023-10-16,Sales,Marketing,Mid
EMP01194,2024-10-27,Marketing,Finance,Senior
EMP00367,2023-12-17,Operations,IT,Junior
EMP01894,2023-09-25,Finance,Customer Service,Junior
EMP01874,2023-06-12,Finance,Customer Service,Mid
EMP00745,2024-12-01,Finance,Legal,Manager
EMP00530,2024-10-19,IT,Finance,Manager
EMP00803,2023-08-16,Operations,Legal,Junior
EMP01224,2024-12-28,Marketing,Customer Service,Mid
EMP01979,2023-10-20,Customer Service,Finance,Mid
EMP01906,2023-09-13,Finance,Operations,Junior
EMP01700,2023-05-08,IT,Finance,Senior
EMP01545,2024-09-22,HR,IT,Junior
EMP01314,2024-02-20,Sales,IT,Junior
EMP00307,2024-07-31,Legal,Customer Service,Junior
EMP01667,2024-10-17,Operations,Marketing,Lead
EMP00863,2024-01-13,Operations,Marketing,Lead
EMP01567,2023-11-12,Legal,Marketing,Mid
EMP00531,2023-03-08,Operations,IT,Junior
EMP00655,2024-03-29,Finance,Sales,Junior
EMP01260,2024-11-24,IT,Customer Service,Junior
EMP00234,2023-12-23,Legal,HR,Mid
EMP00121,2023-10-19,Customer Service,IT,Junior
